Item Code,Description,Short Desc.,$ Cost,$ Retail,Sale UOM Code,Sale UOM Conv,Item Class,Item Class 2,Item Class 3,Vendor
1309,Stolichanaya Single,Stoli25ml,0.462315,4.65,25ml,1,Alcohol,Alcohol - Spirits,Vodka,Trafalgar
1311,Stolichanaya Vodka,StoliButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
86,Stolichanaya Vodka (Component),StoliBott,12.95,0,ML,0.0014,Alcohol,Alcohol - Spirits,Vodka,Casa Juilia plc
27,Straw,Straw,0.02,0,Each,1,Disposables,,,Trafalgar
32,Strawberries&Cream,StrawCream,0.46,3.95,Each,1,Ice Cream,,,Marshfield Farm Ice Cream
220,Stuffed Piquillo Peppers,Piquillo P,16.75,9.5,Each,1,Food,Small Plates,,Trafalgar
1089,Sugar Sachets Brown 1x1000,Sugar,6.82,0,Each,1,Hot Drinks,,,Cafe Praego
1088,Sugar Sachets White 1x1000,Sugar,6.42,0,Each,1,Hot Drinks,,,Cafe Praego
1389,Suntori Toki,TokiButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
1388,Suntori Toki Double,Toki50ml,1.5708,9.7,50ml,1,Alcohol,Alcohol - Spirits,Whisky Japan,Trafalgar
1387,Suntori Toki Single,Toki25ml,0.7854,4.85,25ml,1,Alcohol,Alcohol - Spirits,Whisky Japan,Trafalgar
112,Suntori Toki Whisky (Component),TokiBott,22,0,ML,0.0014,Alcohol,Alcohol - Spirits,Whisky Japan,Casa Juilia plc
165,Sweet Popcorn,SweePopBut,0,0,Each,1,Popcorn,,,PCO Group (Popcorn)
1500,Sweet Popcorn (Component),SweetPop,60.25,0,G,0.0002,Popcorn,,,PCO Group (Popcorn)
167,Sweet Popcorn Kids,Kids £2.00,0,2,Each,1,Popcorn,,,PCO Group (Popcorn)
169,Sweet Popcorn Large,SweetPopL,5.826175,5.95,Each,1,Popcorn,,,PCO Group (Popcorn)
8012,Sweet Popcorn Medium,SweetPopM,2.512425,4.95,Each,1,Popcorn,,,PCO Group (Popcorn)
168,Sweet Popcorn Small,Small£3.95,0,3.95,Each,1,Popcorn,,,PCO Group (Popcorn)
9032,Sweet Potato Chips (ve),SweetChips,0,6,Each,1,Food,Hot Food,Winter Menu,Trafalgar
611,Sweet Potatoes,SweetPot,0,6,Each,1,Food,Hot Food,,Trafalgar
1057,Sweetbird Almond Syrup,Almond Syr,9.95,0,Each,1,Hot Drinks,,,Cafe Praego
1058,Sweetbird Caramel Syrup,Caramel Sy,9.95,0,Each,1,Hot Drinks,,,Cafe Praego
1075,Sweetbird Chocolate Frappe,Frappe,26.25,0,Each,1,Hot Drinks,,,Cafe Praego
1059,Sweetbird English Toffee,Toffee Syr,9.95,0,Each,1,Hot Drinks,,,Cafe Praego
1060,Sweetbird Hazelnut Syrup,Hazelnut,9.95,0,Each,1,Hot Drinks,,,Cafe Praego
1061,Sweetbird Honeycomb Syrup,Honeycomb,9.95,0,Each,1,Hot Drinks,,,Cafe Praego
1065,Sweetbird Mango Pfruit Smoothie,Mango Pfru,52.5,0,Each,1,Hot Drinks,,,Cafe Praego
1062,Sweetbird P/fruit Lemon Iced Tea,Lemon Iced,9.95,0,Each,1,Hot Drinks,,,Cafe Praego
1063,Sweetbird Peach Iced Tea Syrup,Peach Ice,9.95,0,Each,1,Hot Drinks,,,Cafe Praego
1066,Sweetbird Syrup Pump,Syrup Pump,2.95,0,Each,1,Hot Drinks,,,Cafe Praego
1064,Sweetbird Vanilla Syrup,Vanilla Sy,9.95,0,Each,1,Hot Drinks,,,Cafe Praego
1090,T&L Brown Sugar Cubes 8x1kg,Sugar cube,6.82,0,Each,1,Hot Drinks,,,Cafe Praego
1344,Talisker 10yr,TaliskButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
1343,Talisker 10yr Double,Talisk50ml,2.2491,11.9,50ml,1,Alcohol,Alcohol - Spirits,Whisky Single Malt,Trafalgar
1342,Talisker 10yr Single,Talisk25ml,1.12455,5.95,25ml,1,Alcohol,Alcohol - Spirits,Whisky Single Malt,Trafalgar
97,Talisker 10yr Whisky (Component),TaliskBott,31.5,0,ML,0.0014,Alcohol,Alcohol - Spirits,Whisky Single Malt,Casa Juilia plc
1232,Tanqueray 10 Double,10Tanq50ml,1.6175,9.3,50ml,1,Alcohol,Alcohol - Spirits,Gin,Trafalgar
1233,Tanqueray 10 Gin,10TanqButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
60,Tanqueray 10 Gin (Component),10TanqBott,32.35,0,ML,0.001,Alcohol,Alcohol - Spirits,Gin,Casa Juilia plc
1231,Tanqueray 10 Single,10Tanq25ml,0.80875,4.65,25ml,1,Alcohol,Alcohol - Spirits,Gin,Trafalgar
1229,Tanqueray Double,Tanq50ml,2.30979,9.3,50ml,1,Alcohol,Alcohol - Spirits,Gin,Trafalgar
1230,Tanqueray Gin,TanqButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
